"Name","State","Action","SourceType","SourcePath","HqPath","LqPath","HqMediaCount","HqNonZeroCount","LqMediaCount","Reason","BatchId","TaskIds","Error"
"h_photograph/视频/【经典合集】芭蕾舞培训中心更衣室换衣，妹子有几个颜值真的很高，换内衣裤和丝袜的动作真是优雅性感，原版无水，值得珍藏！","EMPTY","SKIP","","","F:\games\comics\h_photograph\视频\【经典合集】芭蕾舞培训中心更衣室换衣，妹子有几个颜值真的很高，换内衣裤和丝袜的动作真是优雅性感，原版无水，值得珍藏！","","0","0","0","No importable media found.","","",""
"h_photograph/单本/彩漫","HQ_AND_LQ","IMPORT","REGISTER","F:\games\comics\h_photograph\单本\彩漫","F:\games\comics\h_photograph\单本\彩漫","F:\games\comics\l_photograph\单本\彩漫","14952","14946","221","Submit HQ. Legacy LQ cannot be attached through the current API.","","",""
"h_photograph/福利姬/兔崽爱露出","HQ_AND_LQ","IMPORT","REGISTER","F:\games\comics\h_photograph\福利姬\兔崽爱露出","F:\games\comics\h_photograph\福利姬\兔崽爱露出","F:\games\comics\l_photograph\福利姬\兔崽爱露出","433","433","101","Submit HQ. Legacy LQ cannot be attached through the current API.","","",""
"h_photograph/福利姬/小桃和俏皮小狗】","HQ_AND_LQ","IMPORT","REGISTER","F:\games\comics\h_photograph\福利姬\小桃和俏皮小狗】","F:\games\comics\h_photograph\福利姬\小桃和俏皮小狗】","F:\games\comics\l_photograph\福利姬\小桃和俏皮小狗】","1040","1040","318","Submit HQ. Legacy LQ cannot be attached through the current API.","","",""
"h_photograph/写真/【孙禾颐JennyPinky】-onlyfans-fansly-JVID福利合集 71.7G","HQ_AND_LQ","IMPORT","REGISTER","F:\games\comics\h_photograph\写真\【孙禾颐JennyPinky】-onlyfans-fansly-JVID福利合集 71.7G","F:\games\comics\h_photograph\写真\【孙禾颐JennyPinky】-onlyfans-fansly-JVID福利合集 71.7G","F:\games\comics\l_photograph\写真\【孙禾颐JennyPinky】-onlyfans-fansly-JVID福利合集 71.7G","3789","3789","2964","Submit HQ. Legacy LQ cannot be attached through the current API.","","",""
"h_photograph/写真/Pure Media","HQ_AND_LQ","IMPORT","REGISTER","F:\games\comics\h_photograph\写真\Pure Media","F:\games\comics\h_photograph\写真\Pure Media","F:\games\comics\l_photograph\写真\Pure Media","23100","23100","23300","Submit HQ. Legacy LQ cannot be attached through the current API.","","",""
"h_photograph/写真/xiaoen","HQ_AND_LQ","IMPORT","REGISTER","F:\games\comics\h_photograph\写真\xiaoen","F:\games\comics\h_photograph\写真\xiaoen","F:\games\comics\l_photograph\写真\xiaoen","760","760","753","Submit HQ. Legacy LQ cannot be attached through the current API.","","",""
"h_photograph/写真/Yeha (예하)","HQ_AND_LQ","IMPORT","REGISTER","F:\games\comics\h_photograph\写真\Yeha (예하)","F:\games\comics\h_photograph\写真\Yeha (예하)","F:\games\comics\l_photograph\写真\Yeha (예하)","3395","3395","3389","Submit HQ. Legacy LQ cannot be attached through the current API.","","",""
"h_photograph/写真/白莉爱吃巧克力","HQ_AND_LQ","IMPORT","REGISTER","F:\games\comics\h_photograph\写真\白莉爱吃巧克力","F:\games\comics\h_photograph\写真\白莉爱吃巧克力","F:\games\comics\l_photograph\写真\白莉爱吃巧克力","1175","1175","1175","Submit HQ. Legacy LQ cannot be attached through the current API.","","",""
"h_photograph/写真/金鱼kinngyo10期合集","HQ_AND_LQ","IMPORT","REGISTER","F:\games\comics\h_photograph\写真\金鱼kinngyo10期合集","F:\games\comics\h_photograph\写真\金鱼kinngyo10期合集","F:\games\comics\l_photograph\写真\金鱼kinngyo10期合集","751","751","736","Submit HQ. Legacy LQ cannot be attached through the current API.","","",""
